ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3592	Protective Clothing for Electronics Manufacturers - PL	These companies manufacture protective clothing sold through distributers for electronics manufacturers.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 BdivA	Product	2.2.2 BdivA	Main	2.2.2 BdivA	RP	Businesses	First							BdivA 1.3.2 B4ii	B4ii DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3591	Protective Clothing for Automobile Manufacturers - PL	These companies manufacture protective clothing sold through distributers for automobile manufacturers.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 F	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3590	Protective Clothing for Glass Production - PL	These companies manufacture protective clothing sold through distributers for glass producers.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 B2ii	Product	2.2.2 B2ii	Main	2.2.2 B2ii	RP	Businesses	First							B2ii 1.2.1 E1i	DivA DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3597	Protective Clothing for Food Processing - PL	These companies manufacture protective clothing sold through distributers for food processing.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	2.2.2 EdivA	RP	Businesses	First							EdivA 1.3.2 EdivA	E4divA 2.2.2 F	DivA					DivA	1.3.2 F	RP	Consumers
3596	Protective Clothing for Nuclear Power Plants - PL	These companies manufacture protective clothing sold through distributers for nuclear power plants.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 E4iii	Product	2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3595	Protective Clothing for Integrated Oil Companies - PL	These companies manufacture protective clothing sold through distributers for integrated oil companies.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 E4ii	Product	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3594	Protective Clothing for Pharmaceuticals - PL	These companies manufacture protective clothing sold through distributers for pharmaceutical companies.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	2.2.2 E4i	RP	Businesses	First								E4i 2.3.2 F	2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3599	Protective Clothing for the Military - PL	These companies manufacture protective clothing sold through distributers for the military.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	1.3.1 DivA	Product	1.3.1 DivA	Auxiliary	4.2.2 F	AP	Governments	First									1.3.1 DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3598	Protective Clothing for Cleaning Companies - PL	These companies manufacture protective clothing sold through distributers for cleaning companies.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.3 A4ii	Product	2.2.3 A4ii	Main	2.2.3 A4ii	AP	Businesses	First									2.2.3 A4ii		A4ii 1.3.2 DivA	DivA	DivM	DivA	DivA	Div	Businesses, Consumers, and Governments
3823	Travel Insurance - PL	These companies provide travel insurance to their customers.	4A1	Financial Distributor		3.3.2	D3ii		RP	In-house					D3ii	4.1.2	DivA	D4iii	1.1.2	DivA	D4iii 1.1.2 DivA	(B4ii) 1.2.2 F	Product					(B4ii) 1.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
