ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3624	 Pressure Control Equipment for Tubing and for Wireline Well Intervention Operations for Integrated Drilling Operations - PL	These companies manufacture pressure control equipment for tubing and wireline cable well intervention for integrated oil drilling operations. 	2A1	Equipment manufacturers		2.2.2	B2iii		RP	In-house					B2iii	1.2.1	EdivS	B4ii	2.2.2	A2ii	B4ii 2.2.2 A2ii	2.2.2 A2ii	ItS	A2ii 1.3.2 E1i	A4ii 1.3.2 B4ii	2.2.2 E1ii	ItP (2)	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First							E1ii 1.3.2 E4ii	E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3627	Components of Pumps for Integrated Drilling Operations Infrastructure - PL	These companies manufacture component parts of pumps that are incorporated into the infrastructure of drilling sites for integrated oil drilling operations. 	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.3.2	B3ii	B4ii	2.2.2	A2ii	B4ii 2.2.2 A2ii	2.2.2 A2ii	ItS	A2ii 1.3.2 E1i	A4ii 1.3.2 B4ii	2.2.2 E1ii	ItP (2)	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F 	RP	Consumers
3626	Valves, Manifolds, Wireline Cable, and Pressure Control Equipment for Drilling and Well Intervention - BG	These companies manufacture valves, manifolds, wireline cable, and pressure control equipment for drilling and well intervention for diversified oil and gas customers. 	2A1	Equipment manufacturers		2.2.2	B2divS		RP	In-house					B2divS	DivS	DivS	B4ii	2.2.2	AdivS	B4ii 2.2.2 AdivS	2.2.2 A2ii	ItS	A2ii 1.3.2 E1i	A4ii 1.3.2 B4ii	2.2.2 E1ii	DivM	2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3579	Protective Clothing for Water Utilities Serving Businesses - PL	These companies manufacture protective clothing sold through distributers for water utilities serving businesses.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	(B4iii) 3.1.2 B4i	RP	Businesses	First								B4i DivS DivS	DivS					DivS	DivA	Div	Businesses and Governments
3471	Door locksets sale and installation through repair contractors - PL	These companies sell and install door locksets on behalf of repair contractors	2A2	Equipment Distributer		3.1.2	B2ii		RP	In-house	2.3.2 A4ii	With Inventory			B2ii	1.3.2	B2iii	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3715	Distribution of Electronic Testing Equipment for Use in Aerospace Defense Equipment Manufacture – PL	These companies sell electronic testing equipment to manufacturers and developers of aerospace defense equipment, who are contracted by the government. This equipment is used in testing during production. 	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	2.2.2	C2iii	B4ii 2.2.2 C2iii	2.3.1 B4ii (C2iii)	Product					2.3.1 B4ii (C2iii)	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii DivA DivA 	1.3.1 DivA	Product	1.3.1 DivA	4.2.2 F	AP	Governments
3714	Distribution of Electronic Testing Equipment for Use by Semiconductor Manufacturers – PL	These companies sell electronic testing equipment to semiconductor manufacturers for use in testing during production. This equipment is not incorporated into the final product. 	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	2.2.2	C2iii	B4ii 2.2.2 C2iii	2.3.1 B3i (C2iii)	Product					2.3.1 B3i (C2iii)	Main	2.2.2 B3i	Div	Businesses	First							B3i DivA CdivA	B4ii DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3717	Distribution of Electronic Testing Equipment for Use in Telecommunications Networks – PL	These companies sell electronic testing equipment to telecommunications networks. This equipment is used in testing and is not incorporated into the final product	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	2.2.2	C2iii	B4ii 2.2.2 C2iii	2.3.1 B4iii (C2iii)	Subject		B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	Product	(B4iii) 1.2.2 CdivA	Main	(B4iii) 1.2.2 CdivA	AP	Businesses	First									(B4ii) 1.2.2 CdivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3716	Distribution of Electronic Testing Equipment for Electronic Device Manufacturers – PL	These companies sell electronic testing equipment to electronic device manufacturers for use in testing during production. This equipment is not incorporated into the final product. 	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	2.2.2	C2iii	B4ii 2.2.2 C2iii	2.3.1 B4ii (C2iii)	Product					2.3.1 B4ii (C2iii)	Main	2.2.2 B4ii	Div	Businesses	First								B4ii DivA CdivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3711	Distributor of Shipping Containers - PL	These companies distribute shipping containers to shipping companies.	2A2	Equipment Distributer		3.1.2	B4i		RP	In-house								B4i	1.3.2	DivA	B4i 1.3.2 DivA	(B4i) 1.3.2 DivA	Product					(B4i) 1.3.2 DivA	Main	(B4ii) 1.2.2 DivA	AP	Businesses	First									(B4ii) 1.2.2 DivA					(B4ii) 1.2.2 DivA	DivA	Div	Businesses
3710	Distribution of Immediate Use Consumer Paper Products to Food Retailers - PL	These companies distribute immediate-use consumer paper products, such as diapers, to various food retailers. 	2A2	Equipment Distributer		3.1.2	B4i		RP	In-house	(A4ii) 3.1.2 E4divA	With Inventory						B4i	1.3.2	B1i	B4i 1.3.2 B1i	2.2.3 F	Product					2.2.3 F	Main	1.3.2 F	RP	Consumers	First																	
3498	Residential Flooring (sold to contractors) - PL	These companies make flooring that is sold to construction contractors and is later installed in homes.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.2.2 A4ii	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3499	Cold formed and extruded Products for Heavy-Duty Trucks - PL	These companies cold form and extrude component parts for heavy-duty truck manufacturers.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.2.2 B4ii	With Inventory			B2ii	1.3.2	DivA	B4ii	1.2.2	DivA	B4ii 1.2.2 DivA	(B4ii) 1.2.2 DivA	Product					(B4ii) 1.2.2 DivA	Main	(B4ii) 1.2.2 DivA	AP	Businesses	First									(B4ii) 1.2.2 DivA					DivA	DivA	Div	Businesses
3496	Residential Flooring (sold through distributors) - PL	These companies make flooring that is sold through home improvement retailers and later installed in homes.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	3.1.2 BdivA	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3497	Residential Flooring (Retail) - PL	These companies make and sell flooring that is installed in homes.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3494	Flooring for Hotels (sold through distributors) - PL	These companies make flooring that is sold through distributors and later installed in hotels.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	3.1.2 BdivA	With Inventory	1.3.2 A4ii	With Inventory	B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3495	Flooring for Hotels (sold to contractors) - PL	These companies make and sell flooring to construction contractors that is installed in hotels.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.2.2 A4ii	With Inventory	1.3.2 A4ii	With Inventory	B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3492	Commercial Flooring (sold through distributors)	These companies make flooring that is sold to distributors and is later installed in commercial spaces.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	3.1.2 BdivA	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	DivA	A4ii 1.3.2 DivA	DivA	DivM					DivA	Main	DivA	Div	Businesses	First																	
3493	Flooring for Educational Facilities (sold through distributors) - BG	These companies make flooring that is sold that is sold through distributors and later installed in schools, universities, and other educational facilities.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	3.1.2 BdivA	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	F	A4ii 1.3.2 F	2.1.2 F (C3iii)	Product					2.1.2 F (C3iii)	Main	2.1.2 F (C3iii)	AP	Businesses	First									2.1.2 F (C3iii)					2.1.2 F (C3iii)	1.3.2 F	RP	Consumers
3490	Flooring for Governmental Institutions (sold to contractors) - PL	These companies make and sell flooring that is  to construction contractors and installed in buildings owned by governmental institutions.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.2.2 A4ii	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	DivA	A4ii 1.3.2 DivA	DivA	DivM					DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
3491	Commercial Flooring (sold to contractors) - PL	These companies make flooring that is  to construction contractors and installed in commercial spaces.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.2.2 A4ii	With Inventory			B2ii	1.3.2	DivA	A4ii	1.3.2	DivA	A4ii 1.3.2 DivA	DivA	DivM					DivA	Main	DivA	Div	Businesses	First																	
3658	Industrial Equipment for Oil and Gas Industry - PL	These companies manufacture industrial equipment for the oil and gas industry. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.2.2	EdivA	B4ii 2.2.2 EdivA	2.2.2 EdivA	Product					2.2.2 EdivA	Main	2.2.2 EdivA	RP	Businesses	First																	
3659	Veterinary Laser Systems - BG	These companies manufacture laser systems that are used for vets.	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.3.2 B4ii	Product					2.3.2 B4ii	Main	2.3.2 B4ii	AP	Businesses	First									2.3.2 B4ii		B4ii 2.2.2 F	(B4ii) 2.2.2 F	Product	(B4ii) 2.2.2 F	1.3.2 F	RP	Consumers
3654	Skids for Modular Process Plants for Crude Oil and Natural Gas Drilling Operations - PL	Manufacture of skids for modular processing plants sold to crude oil and natural gas producers. 	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.3.2	B4ii	B4ii	2.2.2	E1ii	B4ii 2.2.2 E1ii	2.2.2 E1ii	DivM					2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3655	Surface Production Equipment for Diversified Drilling Operations - BG	These companies manufacture equipment used in the production of oil and natural gas by diversified drilling operations, including natural gas, crude oil, and integrated oil producers. 	2A1	Equipment manufacturers		2.2.2	BdivS		RP	In-house								B4ii	DivS	E1ii	B4ii DivS E1ii	2.2.2 E1ii	DivM					2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3656	Subsea Equipment Used to Maintain and Repair Drilling Equipment for Integrated Drilling Infrastructure - PL	These companies manufacture equipment, such as remotely operated vehicles (ROVs), used to maintain and repair drilling systems used in integrated oil drilling operations. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.3.2	B4ii	B4ii 2.3.2 B4ii	2.3.2 A4ii	Subject		A4ii 1.3.2 B4ii	2.2.2 E1ii	ItP (2)	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3657	Diversified Drilling and Well Completion Equipment	These companies manufacture diversified drilling and well completion equipment for oil and gas drillers. 	2A1	Equipment manufacturers		2.2.2	BdivS		RP	In-house					BdivS	DivS	DivS	B4ii	2.2.2	AdivS	B4ii 2.2.2 AdivS	2.2.2 AdivS	DivNT	AdivS 1.3.2 E1i	A4ii 1.3.2 B4ii	2.2.2 E1ii	DivM	2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3650	Desalination, Dehydration, and Separator Tanks for Integrated Drilling Operations - PL	These companies manufacture tanks used for processes such as desalination and dehydration of oil and gas. These tanks are primarily sold to integrated oil operations. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.2.3	E1ii	B4ii 2.2.3 E1ii	2.2.2 E1ii	ItP (2)	E1ii 1.3.2 E4ii		2.2.2 E4ii 	Product	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First							E1ii 1.3.2 E4ii	E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3651	Desalination, Dehydration, and Separator Tanks for Crude Oil and Natural Gas Drilling Operations - PL	These companies manufacture tanks used for processes such as desalination and dehydration of oil and gas. These tanks are primarily sold to crude oil and natural gas operations. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.2.3	E1ii	B4ii 2.2.3 E1ii	2.2.2 E1ii	DivM					2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3652	Modular Process Plants for Integrated Drilling Operations - PL	Manufacture of modular process plants sold to integrate oil producers. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	2.2.2	E1ii	B4ii 2.2.2 E1ii	2.2.2 E1ii	ItP (2)	E1ii 1.3.2 E4ii		2.2.2 E4ii	Product	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3653	Skids for Modular Process Plants for Integrated Drilling Operations - PL	Manufacture of skids for modular processing plants sold to integrated oil producers. 	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.3.2	B4ii	B4ii	2.2.2	E1ii	B4ii 2.2.2 E1ii	2.2.2 E1ii	Itp (2)	E1ii 1.3.2 E4ii		2.2.2 E4ii	Product	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3401	Supply Chain Management for Airplane Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for airplane manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 DivA	(B4ii) 1.2.2 DivA					DivA	DivA	Div	Businesses
3400	Supply Chain Management for HVAC Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for HVAC manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B3iii	RP	Businesses	First							B3iii 1.2.2 E4iii	A4ii 1.3.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3403	Supply Chain Management for Heavy-Duty Truck Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for heavy-duty truck manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 DivA	(B4ii) 1.2.2 DivA					(B4ii) 1.2.2 DivA	(B4ii) 1.2.2 DivA	AP	Businesses
3402	Supply Chain Management for Defense - PL	These companies provide a broad range of services that are centered around supplier selection for defense companies. 	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii DivA DivA	1.3.1 DivA	DivM	1.3.1 DivA	4.2.2 F	AP	Governments
3405	Supply Chain Management for Bus and Coach Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for bus and coach manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 F	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	(B4ii) 1.2.2 F	AP	Businesses
3404	Supply Chain Management for Power Sports and Recreational Equipment Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for power sports and recreational equipment manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 2.2.2 F	(B4ii) 2.2.2 F					(B4ii) 2.2.2 F	1.3.2 F	RP	Consumers
3407	Supply Chain Management for Construction Equipment - PL	These companies provide a broad range of services that are centered around supplier selection for construction equipment manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii DivA DivA	2.2.2 A4ii					2.2.2 A4ii	2.2.2 A4ii	RP	Businesses
3406	Supply Chain Management for Agricultural Equipment Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for agricultural equipment manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii DivA DivA	2.2.2 E1ii					2.2.2 E1ii	2.2.2 E1ii	RP	Businesses
3409	Supply Chain Management for Powered Lawn and Garden Equipment Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for powered lawn and garden equipment manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 2.2.3 A4i	2.2.3 A4i		A4i 1.3.2 F	DivA	DivM	DivA	1.3.2 F	RP	Consumers
3408	Supply Chain Management for Consumer Electronics Producers - PL	These companies provide a broad range of services that are centered around supplier selection for consumer electronics producers. 	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B4ii	RP	Businesses	First								B4ii DivA CdivA	DivA					DivA	1.3.2 F	RP	Consumers
3827	Agricultural Mortgages - PL	These banks provide mortgage loans to businesses used to finance the purchase of farms.	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house								D4ii	1.1.2	A4i	D4ii 1.1.2 A4i	2.2.2 E1ii	Product					2.2.2 E1ii	Main	2.2.2 E1ii	RP	Businesses	First							E1ii 1.3.2 E4divA	E4divA 2.2.2 F	DivA					DivA	1.3.2 F	RP	Consumers
3826	Cleared Land Loans for Developers - PL	These companies provide developers loans that underwrite the purchasing and development of cleared land. 	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house	2.2.2 A4ii	With Inventory						D4ii	1.1.2	A1iii	D4ii 1.1.2 A1iii	DivA	DivM					DivA	Main	1.3.2 F	RP	Businesses	First																	
3825	Zoned Land Loans for Developers - PL	These companies provide developers loans that underwrite the purchasing and development of zoned land. 	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house	2.2.2 A4ii	With Inventory						D4ii	1.1.2	A1ii	D4ii 1.1.2 A1ii	DivA	DivM					DivA	Main	1.3.2 F	RP	Businesses	First																	
3824	Residential Mortgage-backed Securities - BG	These companies invest in residential mortgage-backed securities (RMBS), which consist of a pool of mortgage loans created by banks that are packaged into securities whose cash flows come from the aggregated mortgage payments. 	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house	3.3.2 D4ii	With Inventory						D4ii	1.1.2	A4ii	D4ii 1.1.2 A4ii	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3669	Patents Created for Semiconductor Technology to LED Light Manufacturers - nrBG	These companies design blueprints for the manufacturing of semiconductors that are then used in manufacturing LED lights and patent their intellectual property.	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B3i	C4ii 2.1.2 B3i	2.2.2 B3i	ItP (2)	B3i 1.2.1 CdivA		2.2.2 B3i	Product	2.2.2 B3i	Main	2.2.2 B3i	RP	Businesses	First							B3i 1.2.1 CdivA	B4ii DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3822	Warranty Services for Imaging Systems - PL	These companies provide extended warranty for their imaging system customers.	4A1	Financial Distributor		3.3.2	D3ii		RP	In-house					D3ii	4.1.2	B4ii	D4iii	1.1.2	BdivA	D4iii 1.1.2 BdivA	2.3.2 B4ii	Subject		B4ii 2.2.2 C2iii	2.3.1 F (C2iii)	Product	2.3.1 F (C2iii)	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3821	Warranty Services for Dental and Surgical Lasers - PL	These companies provide extended warranty for the customers of their dental laser systems.	4A1	Financial Distributor		3.3.2	D3ii		RP	In-house					D3ii	4.1.2	B4ii	D4iii	1.1.2	BdivA	D4iii 1.1.2 BdivA	2.3.2 B4ii	Subject		B4ii 2.2.2 E4iii	2.3.2 F	Product	2.3.2 F	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3820	Warranty Services for Veterinary Lasers - PL	These companies provide extended warranty for the customers of their veterinary laser systems.	4A1	Financial Distributor		3.3.2	D3ii		RP	In-house					D3ii	4.1.2	B4ii	D4iii	1.1.2	BdivA	D4iii 1.1.2 BdivA	2.3.2 B4ii	Subject		B4ii 2.2.2 E4iii	2.3.2 B4ii	Product	2.3.2 B4ii	Main	2.3.2 B4ii	AP	Businesses	First									2.3.2 B4ii		B4ii 2.2.2 F	(B4ii) 2.2.2 F	Product	(B4ii) 2.2.2 F	1.3.2 F	RP	Consumers
3829	Commercial Mortgage-backed Securities - BG	These companies hold mortgage-backed securities that are collateralized by commercial real estates.	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house	3.3.2 D4ii	With Inventory						D4ii	1.1.2	A4ii	D4ii 1.1.2 A4ii	DivA	DivM					DivA	Main	DivA	Div	Businesses	First																	
3828	Mortgage Backed Securities - PL	These banks buy and sell mortgage backed securities as part of their investment securities portfolio.	4A1	Financial Distributor		3.3.2	D4ii		RP	In-house	3.3.2 D4ii	With Inventory						D4ii	1.1.2	A4ii	D4ii 1.1.2 A4ii	DivA	DivM					DivA	Main	DivA	Div	Businesses and Consumers	First																	
3474	Bulking Agents - BG	These companies produce bulking agents that are used to treat urinal and constipation problems. 	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.3.2 F	With Inventory	Div	Payer	B2ii	1.3.2	B2iii	F	DivA	DivA	F DivA DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3475	Medical Device: Endoluminal Occlusion Device	These companies produce medical devices for use in the occlusion or stoppage of peripheral vasculature. The devices are implanted in patients during surgery.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	Outsourced	2.3.2 F	Agent	3.3.2 D3ii	Payer	B2ii	1.2.1	B2iii	F	DivA	DivA	F DivA DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3476	Feed-Through Dental Fiber - PL	These companies manufacture flexible feed-through fibers for connecting hand pieces to the systems.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.2.2	E4iii	B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.3.2 F	Product					2.3.2 F	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3477	Arterial Catheter-based Platform Lubricant - PL	These companies produce lubricant used to aid arterial catheter-based platforms during surgical procedures.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house					B2ii	1.2.3	B4ii	B4ii	2.3.2	F	B4ii 2.3.2 F	2.3.2 F	Product					2.3.2 F	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3470	Contract Cold formed and extruded Products Manufacturer for Heavy-Duty Trucks - PL	These companies cold form and extrude component parts for heavy-duty truck manufacturers on a contract basis. 	2B3	Contract Equipment Manufacturing		2.2.2	B2ii		AP	In-house											  	2.2.2 B2ii	ItP (2)	B2ii 1.3.2 B4ii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 DivA	(B4ii) 1.2.2 DivA					(B4ii) 1.2.2 DivA	(B4ii) 1.2.2 DivA	Div	Businesses
3578	Protective Clothing for Railroads - PL	These companies manufacture protective clothing sold through distributers for railroads.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	(B4iii) 1.2.2 DivA	AP	Businesses, Consumers, and Governments	First									(B4iii) 1.2.2 DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3472	Fiberglass and spray foam insulation sale and installation	These companies sell and install fiberglass and spray foam insulation for their customers	2A2	Equipment Distributer		3.1.2	B2i		RP	In-house					B2i	1.2.1	EdivA	A4ii	1.3.2	DivA	A4ii 1.3.2 DivA	DivA	DivM					DivA	Main	DivA	Div	Businesses and Consumers	First																	
3473	Bulking Agents : Government Insurance - PL	These companies produce bulking agents that are used to treat urinal and constipation problems - government insured.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	2.3.2 F	With Inventory	4.2.2 F	Payer	B2ii	1.3.2	B2iii	F	DivA	DivA	F DivA DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3575	Diving Apparel - PL	These companies manufacture diving apparel.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	(A4ii) 3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	(B4i) 2.2.2 F	Product					(B4i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
